,ground_truth,finetune_1,finetune_2,finetune_3,finetune_5,finetune_10,famnet_1,famnet_2,famnet_3,famnet_4,famnet_5,famnet_6,famnet_7,finetune_20,finetune_30,finetune_40,finetune_50,finetune_60,finetune_70
tile_707.jpg,5,5,6,5,6,5,17.978450775146484,16.481948852539062,16.80588150024414,16.07699966430664,16.673879623413086,16.76583480834961,17.171611785888672,5,5,5,5,6,5
tile_734.jpg,10,8,8,10,8,8,26.489139556884766,26.740554809570312,26.454744338989258,23.910675048828125,23.2807674407959,23.63471794128418,24.820819854736328,10,8,10,10,9,10
tile_768.jpg,15,12,14,14,12,10,31.27558708190918,30.632282257080078,32.14672088623047,28.795856475830078,29.37771987915039,29.293067932128906,29.624996185302734,15,15,15,15,16,15
tile_828.jpg,14,11,13,13,13,11,29.62737274169922,28.321571350097656,28.880096435546875,26.17798614501953,25.63408660888672,26.136737823486328,26.51262855529785,13,12,14,13,13,16
tile_858.jpg,14,12,12,13,14,12,22.47561264038086,21.79355239868164,23.29364013671875,21.655498504638672,21.87484359741211,21.955184936523438,22.38132095336914,14,14,14,14,14,15
tile_864.jpg,19,15,16,15,14,14,28.776020050048828,28.635021209716797,28.24050521850586,25.794172286987305,25.297576904296875,25.887697219848633,26.352123260498047,15,14,20,17,17,19
tile_878.jpg,18,8,14,14,8,10,31.921348571777344,30.327571868896484,30.51547622680664,27.784360885620117,27.491863250732422,28.064680099487305,28.633892059326172,13,14,13,16,16,16
tile_883.jpg,10,8,8,7,6,6,29.287616729736328,29.00582504272461,27.86200714111328,25.262046813964844,24.937355041503906,25.27691650390625,26.217275619506836,10,9,10,10,9,10
tile_895.jpg,14,10,16,5,11,18,18.100475311279297,17.754573822021484,18.9315242767334,17.35159683227539,17.065502166748047,17.09268569946289,17.193862915039062,19,19,18,18,13,20
tile_897.jpg,8,8,7,6,6,5,13.881160736083984,14.832235336303711,14.520919799804688,13.23940658569336,13.511998176574707,13.680124282836914,14.294755935668945,8,6,12,8,9,9
tile_900.jpg,5,5,5,5,5,5,8.681690216064453,8.313432693481445,8.528703689575195,7.805839538574219,8.38021469116211,8.475151062011719,8.997170448303223,5,5,5,5,5,5
tile_112.jpg,1,1,1,1,1,2,2.751619338989258,2.635087728500366,2.5791661739349365,2.57258939743042,3.2244272232055664,2.874824047088623,2.829569101333618,1,1,1,1,1,1
tile_113.jpg,0,0,0,0,0,0,0.7111629843711853,0.6107568144798279,0.6637974977493286,0.7032724022865295,0.7316981554031372,0.6423037052154541,0.7592559456825256,1,1,1,1,1,1
tile_122.jpg,1,1,1,1,1,1,4.661159515380859,3.649806022644043,4.269173622131348,4.388759613037109,5.559388160705566,5.81041145324707,5.586472034454346,2,1,1,1,1,1
tile_178.jpg,4,6,4,5,4,6,12.635190963745117,12.685464859008789,14.03097915649414,13.618110656738281,13.578229904174805,13.204582214355469,13.635177612304688,4,4,4,4,4,4
tile_21.jpg,1,3,3,3,2,2,6.171279430389404,5.854236602783203,6.995311737060547,7.181139945983887,7.895204067230225,7.933595180511475,7.809902191162109,1,1,2,2,1,2
tile_211.jpg,5,5,5,5,5,4,13.435733795166016,11.694052696228027,12.03416633605957,11.814560890197754,12.265385627746582,12.22701644897461,12.106063842773438,5,6,4,5,5,6
tile_219.jpg,2,6,4,2,4,2,7.803718566894531,8.298500061035156,8.259479522705078,8.561153411865234,8.590285301208496,8.456114768981934,8.473875045776367,4,3,4,4,2,4
tile_22.jpg,1,1,2,1,2,2,6.527973175048828,5.772960662841797,6.0574750900268555,6.2502641677856445,7.849287033081055,7.800707817077637,7.480064392089844,2,2,2,2,2,2
tile_229.jpg,0,0,0,0,0,0,0.01375639159232378,0.0068780104629695415,0.03714378923177719,0.032359778881073,0.6348826289176941,0.5290822982788086,0.45652711391448975,0,0,0,0,0,0
tile_301.jpg,6,7,8,7,7,7,17.307083129882812,15.318096160888672,17.154293060302734,16.082962036132812,14.783626556396484,14.434898376464844,14.869117736816406,8,8,8,7,7,9
tile_307.jpg,5,5,5,5,5,5,16.982952117919922,15.312700271606445,15.651439666748047,15.504953384399414,15.156152725219727,15.06139087677002,14.984199523925781,5,5,5,5,5,5
tile_310.jpg,2,3,2,2,2,2,5.60375452041626,4.506178855895996,5.343191623687744,5.189365386962891,6.481046199798584,6.121070861816406,5.776180267333984,2,2,2,2,2,2
tile_313.jpg,1,1,1,2,1,1,2.3079030513763428,2.8467328548431396,3.44578218460083,3.5205187797546387,4.701650619506836,4.363937854766846,4.485945701599121,1,1,2,1,1,1
tile_314.jpg,5,5,6,5,4,5,17.49605941772461,16.71245574951172,18.03369903564453,17.084436416625977,17.37493133544922,17.11838722229004,17.059349060058594,5,6,6,6,5,6
tile_340.jpg,1,2,1,1,1,1,2.468238115310669,2.2273213863372803,2.37302827835083,2.4448084831237793,2.963883638381958,2.8949813842773438,2.816431999206543,1,1,1,1,1,1
tile_342.jpg,3,2,3,3,3,3,8.338430404663086,7.364486217498779,8.17926025390625,7.813735485076904,7.641845226287842,7.631955146789551,7.891472816467285,3,3,4,4,3,4
tile_351.jpg,3,5,4,3,5,3,6.916598320007324,6.083051681518555,6.262388229370117,6.351142883300781,6.789651393890381,6.835065841674805,6.596927642822266,4,5,5,5,5,5
tile_360.jpg,10,7,7,6,7,8,17.485618591308594,15.578126907348633,16.10350799560547,14.81741714477539,15.095325469970703,14.93592643737793,15.194449424743652,11,9,10,11,8,12
tile_366.jpg,8,11,9,7,9,10,23.424137115478516,21.204801559448242,22.48722267150879,20.896404266357422,21.48550033569336,21.3859920501709,21.444232940673828,9,10,9,9,9,10
tile_400.jpg,5,4,5,4,4,4,19.972410202026367,17.12282943725586,17.620868682861328,16.3985538482666,17.515304565429688,17.635421752929688,17.29970932006836,4,4,4,5,5,5
tile_411.jpg,1,1,1,1,1,1,4.059597969055176,3.708395004272461,4.080968856811523,4.226484298706055,4.750787734985352,4.401213645935059,4.40485954284668,1,1,1,1,1,1
tile_453.jpg,1,1,1,1,1,1,3.4393937587738037,3.5153558254241943,3.3886971473693848,3.3137331008911133,3.7202396392822266,3.5217604637145996,3.7832770347595215,1,1,1,1,1,1
tile_487.jpg,1,2,1,1,4,1,3.3403778076171875,3.132209300994873,3.1962897777557373,3.5087320804595947,4.37186336517334,4.432701110839844,4.377716541290283,1,1,1,1,1,1
tile_500.jpg,8,6,6,6,6,6,18.450254440307617,16.93212127685547,17.043285369873047,16.263450622558594,16.869476318359375,17.389305114746094,17.349090576171875,6,7,7,7,7,7
tile_501.jpg,5,7,7,5,5,5,12.136984825134277,11.53805160522461,12.142221450805664,11.552579879760742,12.23946762084961,11.975883483886719,12.3822021484375,5,5,5,6,8,5
tile_527.jpg,5,3,3,4,4,4,14.445426940917969,13.284725189208984,13.069944381713867,12.422822952270508,13.288103103637695,13.476313591003418,14.033255577087402,5,4,4,4,4,4
tile_532.jpg,4,1,3,3,2,2,7.9364824295043945,7.6946258544921875,7.774052619934082,7.4172515869140625,7.829858303070068,7.571665287017822,7.796689033508301,4,4,4,4,4,4
tile_536.jpg,4,4,4,4,4,4,10.878705024719238,10.967231750488281,11.730064392089844,11.268911361694336,11.06081771850586,11.316189765930176,11.475730895996094,4,4,5,4,4,4
tile_542.jpg,7,7,6,7,7,6,20.10405921936035,19.94086265563965,20.861255645751953,18.954730987548828,19.293235778808594,19.598405838012695,20.047094345092773,7,7,7,7,7,7
tile_59.jpg,3,4,4,3,3,3,15.92177963256836,14.264917373657227,15.798196792602539,15.07040023803711,15.196975708007812,14.97940444946289,14.78416633605957,4,3,4,4,3,3
tile_596.jpg,7,6,7,7,7,7,15.358266830444336,14.996477127075195,14.573317527770996,14.377187728881836,14.018335342407227,14.216197967529297,14.733272552490234,7,7,7,7,9,8
tile_6.jpg,0,0,0,0,0,0,0.12131763249635696,0.0822712779045105,0.17207525670528412,0.20740662515163422,1.0501708984375,0.8773103952407837,0.7719324827194214,0,0,0,0,0,0
tile_600.jpg,6,5,6,5,5,6,15.92768669128418,15.092350006103516,14.575319290161133,14.586518287658691,15.004371643066406,15.195159912109375,15.649791717529297,6,6,6,6,6,7
tile_612.jpg,8,6,7,7,7,8,19.439062118530273,17.513145446777344,18.2109317779541,18.08092498779297,18.109073638916016,18.808589935302734,19.234966278076172,7,7,7,7,7,7
tile_630.jpg,3,4,3,3,3,3,11.17370891571045,9.272300720214844,10.12590217590332,9.592142105102539,10.552743911743164,10.602020263671875,10.399860382080078,3,3,3,3,3,3
tile_632.jpg,3,4,4,4,4,3,8.347396850585938,8.230647087097168,8.809473991394043,8.570952415466309,9.093440055847168,9.001792907714844,9.576423645019531,3,4,4,3,3,3
tile_643.jpg,13,11,11,12,12,11,22.135509490966797,21.359058380126953,22.25873565673828,20.010330200195312,20.105024337768555,20.319637298583984,20.42296600341797,14,14,13,13,14,14
tile_66.jpg,2,2,3,2,2,2,7.744515895843506,7.250319480895996,8.097283363342285,7.305001735687256,8.639443397521973,8.193931579589844,8.086200714111328,2,3,2,3,2,2
tile_667.jpg,3,3,4,4,4,4,9.948760986328125,9.049894332885742,10.612268447875977,10.668888092041016,11.730457305908203,11.385804176330566,11.39106559753418,4,4,4,4,4,4
tile_673.jpg,7,7,7,6,7,7,13.074363708496094,11.509845733642578,12.653278350830078,12.161532402038574,12.546698570251465,12.193893432617188,12.381223678588867,6,6,6,6,6,6
tile_679.jpg,13,12,13,13,13,15,28.33978271484375,28.450347900390625,27.741788864135742,25.49166488647461,25.50218963623047,26.225982666015625,26.44671058654785,13,13,13,13,13,14
tile_683.jpg,20,16,16,15,17,16,28.592945098876953,27.59725570678711,28.419429779052734,26.328826904296875,26.345561981201172,26.26015281677246,26.22150421142578,14,15,15,15,15,21
tile_76.jpg,0,0,0,0,0,0,0.3880136013031006,0.6059856414794922,0.6811295747756958,0.6683262586593628,1.3999018669128418,1.34855055809021,1.2929389476776123,0,0,0,0,0,0
tile_839.jpg,13,7,11,11,6,7,27.631547927856445,25.51911163330078,26.318378448486328,23.785358428955078,24.23792266845703,24.66965103149414,24.905174255371094,12,13,13,11,13,12
tile_849.jpg,15,8,9,9,5,8,21.578580856323242,20.480484008789062,22.27564239501953,21.00238800048828,21.08124542236328,21.282312393188477,21.682825088500977,13,13,13,13,13,13
tile_852.jpg,8,6,9,6,7,7,23.151626586914062,21.75126075744629,21.504653930664062,20.07878303527832,20.949909210205078,21.224885940551758,21.465986251831055,8,8,9,9,9,10
tile_854.jpg,9,8,9,8,9,8,18.764020919799805,18.278352737426758,19.802186965942383,18.583328247070312,17.926559448242188,17.87696647644043,18.57733917236328,9,9,8,10,9,13
tile_872.jpg,12,11,14,14,13,13,30.970287322998047,30.113082885742188,29.52547836303711,27.2601375579834,27.316299438476562,27.943836212158203,28.277629852294922,14,13,14,14,13,14
tile_89.jpg,0,1,1,0,1,1,1.6005589962005615,1.4317803382873535,1.4350571632385254,1.342577576637268,2.2453296184539795,2.1581168174743652,1.9992650747299194,1,1,1,1,1,1
tile_91.jpg,1,2,1,1,1,2,5.431268215179443,4.045483589172363,3.605098247528076,4.241893291473389,5.5551910400390625,5.575227737426758,5.289854526519775,1,2,2,2,2,2
tile_114.jpg,2,2,2,2,3,2,6.664144515991211,5.7631659507751465,5.65985107421875,5.740511417388916,7.33428430557251,7.253951072692871,7.048620223999023,2,3,3,3,3,4
tile_190.jpg,1,1,1,1,1,1,3.8148064613342285,3.3227829933166504,3.9346041679382324,4.074315547943115,4.483173370361328,4.382431983947754,4.574326515197754,1,1,1,1,1,1
tile_25.jpg,0,1,1,1,1,1,2.926983118057251,3.0755717754364014,3.0305843353271484,3.1576783657073975,3.9197845458984375,3.6315619945526123,3.6136064529418945,1,1,1,1,1,1
tile_250.jpg,8,10,10,11,10,9,15.020602226257324,14.152307510375977,15.27396011352539,14.48971176147461,14.527715682983398,14.428760528564453,14.597484588623047,8,10,11,9,10,10
tile_253.jpg,6,4,5,5,5,5,11.974615097045898,10.850383758544922,12.778602600097656,11.962717056274414,12.549186706542969,12.27789306640625,12.487537384033203,5,5,5,5,5,5
tile_259.jpg,2,4,3,3,3,3,5.4404296875,5.364340782165527,6.417469024658203,6.494668960571289,7.289369106292725,7.051645278930664,7.095277309417725,3,3,2,2,2,3
tile_267.jpg,4,7,5,6,5,4,16.52481460571289,13.947187423706055,15.415393829345703,14.807171821594238,15.615156173706055,15.60593032836914,15.625066757202148,4,5,4,6,4,5
tile_270.jpg,0,1,1,1,1,1,2.2820193767547607,1.785927414894104,2.036214828491211,2.1549453735351562,3.211395025253296,3.2234225273132324,3.2414443492889404,1,2,1,1,1,1
tile_280.jpg,5,5,6,5,6,5,16.499385833740234,15.5823974609375,16.627120971679688,15.689026832580566,16.649959564208984,16.629243850708008,16.44936752319336,6,6,5,6,5,5
tile_299.jpg,5,4,6,5,5,5,16.039566040039062,15.916635513305664,17.272016525268555,15.717108726501465,15.88148307800293,15.529949188232422,15.788786888122559,5,5,6,5,5,5
tile_327.jpg,4,4,5,4,3,4,11.53483772277832,11.459694862365723,12.567449569702148,12.931716918945312,13.558087348937988,13.168569564819336,13.434833526611328,5,5,4,4,4,5
tile_353.jpg,4,3,5,1,3,3,7.424703598022461,6.881602764129639,7.256908893585205,7.462884902954102,8.558170318603516,8.377426147460938,8.334123611450195,3,3,4,3,3,5
tile_359.jpg,7,8,7,7,9,9,22.29611587524414,20.71713638305664,21.82633399963379,20.824443817138672,20.128070831298828,19.992263793945312,20.275163650512695,9,9,9,8,9,9
tile_365.jpg,5,4,5,5,6,4,14.97801399230957,13.467206954956055,13.01293659210205,13.228397369384766,12.967365264892578,13.292734146118164,13.683218002319336,5,5,5,5,5,5
tile_384.jpg,0,0,0,0,0,0,0.048999544233083725,0.03375755995512009,0.12617626786231995,0.10155633091926575,0.750724196434021,0.6256231665611267,0.548109769821167,0,0,0,0,0,0
tile_39.jpg,2,3,3,0,1,1,8.859294891357422,9.7557373046875,9.095193862915039,9.27991008758545,8.608259201049805,8.264368057250977,8.616691589355469,4,5,3,3,3,5
tile_422.jpg,1,1,1,1,1,1,2.3433117866516113,2.054474115371704,2.2627735137939453,2.799788236618042,2.641819953918457,2.4535937309265137,2.637812376022339,1,1,1,1,1,1
tile_431.jpg,4,5,4,4,4,4,11.56630802154541,11.841204643249512,13.109869003295898,12.900882720947266,13.35843276977539,13.13737678527832,13.201133728027344,4,4,4,4,4,4
tile_434.jpg,8,10,10,10,9,8,19.399211883544922,20.90203285217285,21.319610595703125,20.22488021850586,20.431333541870117,20.515806198120117,20.962507247924805,8,8,8,8,9,9
tile_44.jpg,1,4,2,1,1,2,8.12324047088623,8.169940948486328,8.946882247924805,8.260722160339355,9.177093505859375,8.646407127380371,8.722545623779297,4,2,2,1,2,3
tile_443.jpg,3,3,3,3,4,4,8.893310546875,8.289379119873047,8.918712615966797,9.084736824035645,9.746042251586914,9.585220336914062,9.54980182647705,4,3,4,3,3,4
tile_45.jpg,2,4,3,3,4,2,8.275827407836914,8.67674446105957,10.188343048095703,10.063676834106445,10.26225471496582,9.61588191986084,9.680623054504395,4,3,4,5,4,3
tile_455.jpg,4,4,4,5,5,4,13.526510238647461,11.8125,13.022503852844238,12.472381591796875,13.610686302185059,13.691455841064453,13.486798286437988,5,5,5,7,4,4
tile_464.jpg,10,11,10,9,12,12,23.443206787109375,23.02627182006836,22.829792022705078,21.493118286132812,21.078388214111328,21.07198143005371,21.500085830688477,12,9,11,11,11,11
tile_469.jpg,6,6,6,7,6,8,16.880470275878906,15.252786636352539,16.095256805419922,14.961383819580078,15.26483154296875,14.953987121582031,14.817914009094238,7,6,7,7,9,7
tile_492.jpg,5,5,7,4,7,7,16.324722290039062,15.282567977905273,16.709365844726562,16.134197235107422,16.023448944091797,15.875163078308105,16.02542495727539,7,6,6,8,6,6
tile_507.jpg,7,11,9,8,8,8,15.493270874023438,14.647055625915527,15.026123046875,14.240442276000977,14.967824935913086,14.701286315917969,14.618795394897461,8,9,9,8,9,11
tile_544.jpg,3,4,4,5,4,4,15.969427108764648,15.717915534973145,15.727596282958984,14.126432418823242,13.873974800109863,14.079246520996094,14.591465950012207,6,5,5,6,6,6
tile_608.jpg,5,5,5,5,5,5,13.397686004638672,13.268695831298828,13.602155685424805,13.118636131286621,13.520296096801758,13.229320526123047,13.814985275268555,5,5,5,5,5,5
tile_619.jpg,10,11,11,8,11,8,22.194807052612305,21.490785598754883,21.61823081970215,20.14257049560547,20.141586303710938,20.61690902709961,20.841493606567383,10,9,9,8,10,10
tile_646.jpg,4,4,4,4,4,4,15.25075912475586,14.321430206298828,15.645401000976562,14.890867233276367,15.465457916259766,15.361234664916992,15.36671257019043,5,4,4,5,4,4
tile_647.jpg,10,8,9,9,7,10,20.56768035888672,21.79864501953125,21.32497215270996,20.109041213989258,19.953136444091797,20.057373046875,20.745948791503906,11,10,11,10,10,11
tile_675.jpg,10,10,11,10,10,10,21.22770118713379,20.27666473388672,22.70132827758789,21.788841247558594,21.86831283569336,21.715801239013672,21.74437141418457,10,10,10,10,11,11
tile_698.jpg,16,14,16,13,12,16,22.338485717773438,22.462072372436523,22.94428825378418,21.326515197753906,21.039138793945312,20.8113956451416,21.303869247436523,17,16,16,16,16,17
tile_706.jpg,11,10,10,10,11,10,24.132041931152344,22.56006622314453,22.433116912841797,21.778038024902344,20.546314239501953,20.968717575073242,21.747854232788086,11,10,11,10,10,11
tile_722.jpg,11,9,11,12,11,15,19.33597183227539,19.076171875,20.3749942779541,18.842727661132812,18.5225830078125,18.160646438598633,18.692745208740234,12,13,13,15,12,15
tile_790.jpg,16,11,16,16,15,14,37.289390563964844,35.28452682495117,35.683982849121094,32.383766174316406,31.629533767700195,31.87493896484375,31.904930114746094,16,14,16,16,16,17
tile_791.jpg,19,17,21,19,20,18,35.72903823852539,34.20005798339844,34.950164794921875,30.561416625976562,29.747711181640625,30.283912658691406,30.47298812866211,22,21,25,23,22,22
tile_814.jpg,7,5,5,6,7,7,12.701089859008789,12.360555648803711,13.59654712677002,13.293737411499023,13.601181983947754,13.317090034484863,13.65317153930664,7,7,8,7,8,7
tile_82.jpg,2,6,3,1,4,2,8.965364456176758,7.359174728393555,6.8560919761657715,7.0317535400390625,7.527108192443848,7.445852279663086,7.524127960205078,3,4,6,5,5,6
tile_821.jpg,11,12,10,11,10,10,32.24262237548828,32.936363220214844,33.96247863769531,30.083547592163086,29.676103591918945,29.539775848388672,30.014907836914062,11,11,11,11,11,11
tile_822.jpg,11,8,8,8,8,9,23.628089904785156,23.08957290649414,23.18384552001953,21.860187530517578,21.75719451904297,21.810638427734375,22.10053062438965,9,9,9,9,10,9
tile_833.jpg,16,12,17,17,13,16,31.370677947998047,29.26608657836914,29.144214630126953,26.639808654785156,26.513153076171875,26.94219970703125,27.654720306396484,20,19,18,19,19,17
tile_837.jpg,18,11,15,15,13,12,40.37861251831055,38.9427490234375,37.617042541503906,34.03889083862305,33.14228057861328,34.35454559326172,34.89319610595703,15,16,17,17,16,17
tile_840.jpg,10,5,8,8,4,7,20.808013916015625,21.642318725585938,20.135591506958008,18.981754302978516,18.852832794189453,19.31730842590332,20.177181243896484,9,9,9,9,10,9
tile_846.jpg,13,11,10,10,7,9,32.975791931152344,32.447654724121094,31.873165130615234,29.043113708496094,28.533342361450195,29.434316635131836,30.154991149902344,11,10,12,11,12,14
tile_871.jpg,11,9,10,10,10,10,31.861148834228516,32.36763000488281,32.29767608642578,28.471538543701172,27.905479431152344,28.785062789916992,29.418506622314453,11,11,11,11,11,11
tile_904.jpg,12,10,17,10,13,12,20.785898208618164,19.956249237060547,20.101049423217773,18.41002655029297,18.02419090270996,18.484832763671875,18.513744354248047,15,14,19,14,13,13
tile_917.jpg,6,6,5,4,3,7,8.862497329711914,7.783743858337402,8.329586029052734,8.036188125610352,7.8261213302612305,7.7277936935424805,7.932468891143799,7,6,7,8,6,7
tile_920.jpg,5,2,4,4,4,6,9.060233116149902,8.246294021606445,8.793739318847656,8.17886734008789,7.752368927001953,7.653071403503418,8.154190063476562,7,6,9,6,5,6
tile_102.jpg,1,2,2,2,1,2,4.1740264892578125,4.2432403564453125,4.945988178253174,4.830165863037109,5.407379627227783,5.282160758972168,5.3049235343933105,1,1,1,1,1,1
tile_115.jpg,2,2,2,2,2,2,7.4776482582092285,7.2325968742370605,7.134392738342285,7.627524375915527,7.855033874511719,7.5496063232421875,7.776215553283691,2,2,2,2,2,2
tile_133.jpg,3,2,3,3,3,3,4.672219276428223,4.5159711837768555,4.581346035003662,4.711854934692383,6.080606460571289,6.083242416381836,5.9606475830078125,3,3,3,3,4,3
